TES4;10.154.188.157
TES6;10.154.188.217
SYST;10.154.188.233
TEU2;10.154.188.89
TSK4;10.154.188.249
TSK5;10.154.188.201
TTJ2;10.154.188.105
TTJ6;10.154.188.137
TTJ8;10.154.188.153
TTK8;10.154.188.169
TTL0;10.154.189.25
TTL2;10.154.189.97
TTL8;10.154.188.185
BKCL01;10.34.49.97
BKCL02;10.34.49.1
BKCL03;10.34.49.105
BKCL04;10.34.49.57
BKCL05;10.34.49.49
BKCL06;10.34.49.109
BKCL07;10.34.49.17
BKCL08;10.34.49.9
BKCL09;10.34.49.113
BKCL10;10.34.49.25
LPAR104;
LPAR204;
LPAR116;
LPAR216;
BKCL11;10.34.49.33
BKCL12;10.34.49.41
TET8;10.154.188.1
TSB4;10.154.190.16
TSB5;10.154.190.24
TTC4;10.34.61.25
TTE8;10.34.61.33
TSK0;10.34.61.17
TET2;10.154.188.25
TET4;10.154.189.81
TET5;10.154.188.41
TET6;10.154.188.9
TNP0;10.154.190.185
THSY;10.154.190.193
HPSY;10.154.190.201
BAN2;10.154.190.113
CRA0;10.154.189.89
CRA2;10.154.188.241
CRA4;10.154.188.177
CRA6;10.154.190.129
CRA8;10.154.189.65
CRB0;10.154.188.81
CRB2;10.154.188.145
CRB6;10.154.189.33
CRB8;10.154.189.233
CRC0;10.154.188.193
CRC2;10.154.189.17
CRC6;10.154.189.169
CRC8;10.154.188.209
CRD2;10.154.188.97
CRD4;10.154.188.129
CRE0;10.154.190.153
CRE4;10.154.189.185
CRE6;10.154.188.161
CRF0;10.154.188.113
CRF2;10.154.189.49
CRF4;10.154.188.33
CRF6;10.154.189.201
CRF8;10.154.189.153
CRG0;10.154.188.225
CRG2;10.154.189.217
CRG4;10.154.188.49
CRG6;10.154.189.105
CRG8;10.154.190.177
CRH0;10.154.189.137
CRH2;10.154.189.121
CRH4;10.154.189.1
CRH6;10.154.188.65
CRH8;10.154.189.249
CRI0;10.154.190.33
CRI2;10.154.190.49
CRI4;10.154.190.9
CRI6;10.154.190.65
CRI8;10.154.190.81
CRK6;10.154.190.97
NBK2;10.154.190.121
